"grid_point","Year","Objective","type1_biome","type2_vegetation_community","type3_vegetation_indicators","type4_indicators_history","OBJECTID","Action","Method","Type","layer","bird_MS_pt"
27,"2019","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
28,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
28,"2019","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
29,"2019","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",81,"Chemical","pre-emergent","broadcast","WC_2019",NA
30,"2019","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
31,"2015","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
31,"2019","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",81,"Chemical","pre-emergent","broadcast","WC_2019","bird_MS_pt"
32,"2015","Weed Control","rangeland","shrubland","other shrub deciduous","other shrub deciduous",0,"Chemical",NA,"broadcast","WC_2015",NA
33,"2018","Revegetation","rangeland","shrubland","sagebrush","sagebrush",379,"Seeding","Broadcast","bare seed","RV_2018",NA
33,"2016","Vegetation Management","rangeland","shrubland","sagebrush","sagebrush",52,"Sage Thinning","chemical","tebuthiuron","VM_2016",NA
33,"2022","Vegetation Management","rangeland","shrubland","sagebrush","sagebrush",NA,"Sage Thinning","Mechanical","masticator","VM_2022",NA
34,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
35,NA,NA,"forest","upland","mixed canopy conifer","mixed canopy conifer",NA,NA,NA,NA,NA,NA
36,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,NA
37,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
38,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
39,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
40,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
41,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
42,"2018","Revegetation","forest","upland","closed canopy conifer","closed canopy conifer",379,"Seeding","Broadcast","bare seed","RV_2018",NA
42,"2016","Vegetation Management","forest","upland","closed canopy conifer","closed canopy conifer",52,"Sage Thinning","chemical","tebuthiuron","VM_2016",NA
42,"2019","Weed Control","forest","upland","closed canopy conifer","closed canopy conifer",73,"Chemical","post-emergent","broadcast","WC_2019",NA
43,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
44,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
45,"2013","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",33,"Seeding","Drill","continuous","RV_2013","bird_MS_pt"
45,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",56,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
45,"2019","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",277,"Seeding","Drill","island","RV_2019","bird_MS_pt"
45,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
45,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",27,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
45,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
45,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
45,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
45,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",191,"Chemical","pre-emergent","broadcast","WC_2016","bird_MS_pt"
46,"2011","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
47,"2011","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Chemical","pre-emergent","broadcast","WC_2011",NA
48,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,NA
49,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
50,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
51,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
52,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
53,"2013","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",33,"Seeding","Drill","continuous","RV_2013","bird_MS_pt"
53,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",56,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
53,"2019","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",277,"Seeding","Drill","island","RV_2019","bird_MS_pt"
53,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
53,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",27,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
53,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
53,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
53,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
53,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",191,"Chemical","pre-emergent","broadcast","WC_2016","bird_MS_pt"
54,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
54,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",27,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
54,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
54,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
54,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
54,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
55,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",27,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
56,"2012","Revegetation","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Seeding","Drill",NA,"RV_2012","bird_MS_pt"
56,"2011","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
57,"2011","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Chemical","pre-emergent","broadcast","WC_2011",NA
58,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011",NA
59,NA,NA,"rangeland","shrubland","wooded draw non-forest","wooded draw non-forest",NA,NA,NA,NA,NA,NA
60,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
61,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
62,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",53,"Sage Thinning","chemical","tebuthiuron","VM_2016",NA
62,"2017","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",174,"Chemical","pre-emergent","broadcast","WC_2017",NA
62,"2018","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",47,"Cultural","Burn","prep","WC_2018",NA
62,"2019","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",73,"Chemical","post-emergent","broadcast","WC_2019",NA
63,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,"bird_MS_pt"
64,NA,NA,"rangeland","shrubland","wooded draw non-forest","wooded draw non-forest",NA,NA,NA,NA,NA,"bird_MS_pt"
65,"2011","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
66,"2011","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
67,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",54,"Sage Thinning","chemical","tebuthiuron","VM_2016","bird_MS_pt"
67,"2022","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,"Sage Thinning","Mechanical","masticator","VM_2022","bird_MS_pt"
68,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",54,"Sage Thinning","chemical","tebuthiuron","VM_2016",NA
68,"2022","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,"Sage Thinning","Mechanical","masticator","VM_2022",NA
69,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
70,"2012","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",18,"Seeding","Drill","continuous","RV_2012","bird_MS_pt"
70,"2013","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",34,"Seeding","Drill","continuous","RV_2013","bird_MS_pt"
70,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2012","bird_MS_pt"
70,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
70,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
70,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
70,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",191,"Chemical","pre-emergent","broadcast","WC_2016","bird_MS_pt"
70,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",17,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
70,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",NA,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
71,"2011","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",0,"Seeding","Drill","continuous","RV_2011","bird_MS_pt"
71,"2012","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",18,"Seeding","Drill","continuous","RV_2012","bird_MS_pt"
71,"2013","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",34,"Seeding","Drill","continuous","RV_2013","bird_MS_pt"
71,"2020","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",308,"Seeding","Drill","continuous","RV_2020","bird_MS_pt"
71,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2012","bird_MS_pt"
71,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
71,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
71,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
71,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",191,"Chemical","pre-emergent","broadcast","WC_2016","bird_MS_pt"
71,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",18,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
72,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
72,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",27,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
72,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","post-emergent","broadcast","WC_2012","bird_MS_pt"
72,"2022","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
73,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
73,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",27,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
73,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2012","bird_MS_pt"
74,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",254,"Seeding","Drill","continuous","RV_2018","bird_MS_pt"
75,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",54,"Sage Thinning","chemical","tebuthiuron","VM_2016","bird_MS_pt"
76,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",54,"Sage Thinning","chemical","tebuthiuron","VM_2016","bird_MS_pt"
77,"2012","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",18,"Seeding","Drill","continuous","RV_2012","bird_MS_pt"
77,"2013","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",34,"Seeding","Drill","continuous","RV_2013","bird_MS_pt"
77,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
77,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2012","bird_MS_pt"
77,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","post-emergent","spot","WC_2012","bird_MS_pt"
77,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
77,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
77,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
77,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",191,"Chemical","pre-emergent","broadcast","WC_2016","bird_MS_pt"
77,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",18,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
77,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
78,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
78,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",27,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
78,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","post-emergent","broadcast","WC_2012","bird_MS_pt"
78,"2022","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
79,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",254,"Seeding","Drill","continuous","RV_2018","bird_MS_pt"
79,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
79,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical","pre-emergent","broadcast","WC_2012","bird_MS_pt"
79,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
80,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",254,"Seeding","Drill","continuous","RV_2018","bird_MS_pt"
81,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",254,"Seeding","Drill","continuous","RV_2018",NA
82,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",254,"Seeding","Drill","continuous","RV_2018",NA
82,"2017","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",173,"Chemical","pre-emergent","broadcast","WC_2017",NA
83,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",66,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
83,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",382,"Seeding","Drill","islands","RV_2018","bird_MS_pt"
83,"2017","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",173,"Chemical","pre-emergent","broadcast","WC_2017","bird_MS_pt"
84,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",382,"Seeding","Drill","islands","RV_2018","bird_MS_pt"
84,"2016","Vegetation Management","rangeland","grassland","former cultivated","forage grass diversification",54,"Sage Thinning","chemical","tebuthiuron","VM_2016","bird_MS_pt"
84,"2017","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",173,"Chemical","pre-emergent","broadcast","WC_2017","bird_MS_pt"
85,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",54,"Sage Thinning","chemical","tebuthiuron","VM_2016","bird_MS_pt"
86,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",71,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
86,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",153,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
86,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",3,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
86,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
86,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
87,"2012","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",339,"Live Plant","Transplant","ELYCIN","RV_2012","bird_MS_pt"
87,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",71,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
87,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",153,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
87,"2021","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",315,"Seeding","Drill","islands","RV_2021","bird_MS_pt"
87,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",3,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
87,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
87,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
88,"2012","Revegetation","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",339,"Live Plant","Transplant","ELYCIN","RV_2012","bird_MS_pt"
88,"2020","Vegetation Management","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",113,"Barrier","Buck-N-Rail","Buck-N-Rail","VM_2020","bird_MS_pt"
88,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
88,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",28,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
88,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
88,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
88,"2022","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
89,"2015","Revegetation","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",71,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
89,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",28,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
89,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
89,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2015","bird_MS_pt"
89,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
89,"2022","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","post-emergent","broadcast","WC_2022","bird_MS_pt"
90,"2011","Weed Control","rangeland","shrubland","bitterbrush","bitterbrush",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
90,"2017","Weed Control","rangeland","shrubland","bitterbrush","bitterbrush",173,"Chemical","pre-emergent","broadcast","WC_2017","bird_MS_pt"
